Sample,Center,Passage,Amelogenin,CSF1PO,D13S317,D16S539,D18S51,D19S433,D21S11,D2S1338,D3S1358,D5S818,D7S820,D8S1179,FGA,TH01,TPOX,vWA,Penta E,Penta D
TM00052,JAX,P1,X,"10,11","11,14","11,13",16,"13,16",29,"23,25","14,17","11,12","10,11",13,19,9.3,"8,10","15,18",,
TM00053,JAX,P0,"X,Y","10,12","10,12","10,11",15,"14,14.2","30,31","19,22","16,17",12,10,13,24,"8,9.3","9,11","17,19",,
TM00056,JAX,P1,"X,Y","10,13",11,"11,13",12,"13.2,14","28,29","19,22",16,12,"10,12",13,"21,23","6,9.3","8,12",16,,
TM00057,JAX,P1,X,10,"11,13","11,13","11,15","14,15","28,29","17,25",16,"11,12","9,10","13,14","19,21",9.3,"8,11",17,,
TM00058,JAX,P1,X,10,"12,13","10,11","15,18","14,15","28,32.2","20,23",16,"7,13","8,11","10,15","22,24","5.3,6.3","8,11",16,,
TM00060,JAX,P1,X,"11,12","8,11","11,12","12,15","14,15","28,32.2","17,20","14,17","12,13",9,"14,17","21,24","5.3,9.3","8,12","18,19",,
TM00061,JAX,P1,"X,Y","10,11","11,14","11,12","16,17","14,14.2",27,"20,25","17,18","10,13",11,"9,15","22,24","8,10","8,11",18,,
TM00062,JAX,P1,"X,Y","10,12",11,11,"14,15","12,13",30,"17,23",16,"11,","8,9","10,15","19,24","7,10",8,18,,
TM00063,JAX,P0,"X,Y",11,"9,14",12,"14,17","14,16","29,30",17,"16,17","12,","7,11",13,"22,26",7,8,"14,20",,
TM00064,JAX,P1,"X,Y",12,12,12,"12,16","13,17",30,"17,19","15,17","11,12","8,9","12,13","22,23",9.3,"8,9","14,17",,
TM00065,JAX,P1,"X,Y","10,11",11,"9,14","13,16","14,15",28,"20,25","16,18","9,12","10,11","11,14","22,23",10,"8,9","16,19",,
TM00066,JAX,P0,"X,Y",11,"9,11","12,13","18,20","13,15,16","30,31","16,20","15,16","11,13",10,"10,13","22,23","7,9.3","8,11","15,16",,
